CHART_DATE,CHART_YEAR,CHART_MONTH,CHART_WEEK,ICE_SEASON,SEA_AREA,NCT_AREA,MYI_AREA,FYI_AREA,YOUNGICE_AREA,NEWICE_AREA
07/08/1972,1972,8,32,1972,386512.8223,207562.8594,143778.3543,67622.74265,0,0
14/08/1972,1972,8,33,1972,386512.8225,251302.0143,189824.495,66659.58487,0,0
21/08/1972,1972,8,34,1972,386512.8223,235861.0117,144440.9942,92015.35466,0,0
28/08/1972,1972,8,35,1972,386512.8223,196570.3981,131385.173,68073.66156,0,0
04/09/1972,1972,9,36,1972,386512.8223,207673.5687,135773.7252,76210.51116,0,105.13066
11/09/1972,1972,9,37,1972,386512.8222,205826.5271,157603.7972,38500.78506,0,9721.944793
18/09/1972,1972,9,38,1972,386512.8223,210232.6078,160566.5487,40505.6856,0,11148.18203
25/09/1972,1972,9,39,1972,386512.8223,227635.7415,170258.9529,46482.35929,8814.065545,6624.699158
02/10/1972,1972,10,40,1972,386512.8223,250479.3229,217749.766,1560.159515,25977.91634,9751.349398
09/10/1972,1972,10,41,1972,386512.8219,282229.7004,217383.8175,7077.81456,36014.73764,24544.13984
16/10/1972,1972,10,42,1972,386512.8224,320524.7228,248747.2983,15863.74832,44252.17645,15516.02415
23/10/1972,1972,10,43,1972,386512.8224,345028.2369,188239.2244,19816.03863,73926.73359,68471.00884
22/06/1973,1973,6,26,1973,386512.8077,297495.9878,239196.9901,58831.74438,0,0
29/06/1973,1973,6,27,1973,386512.8071,275476.6889,257025.7708,24798.40028,0,0
05/07/1973,1973,7,27,1973,386512.8079,282455.0005,243588.0235,39706.02665,0,0
13/07/1973,1973,7,29,1973,386512.8071,279690.741,247434.8636,31461.39635,1051.306993,0
20/07/1973,1973,7,30,1973,386512.807,300139.482,276623.5612,24220.16018,0,0
27/07/1973,1973,7,31,1973,386512.8071,303813.8674,222711.4317,82571.76591,0,0
03/08/1973,1973,8,32,1973,386512.8062,290943.7058,227926.4291,64315.62866,0,0
10/08/1973,1973,8,33,1973,386512.8077,291877.7362,252375.5222,41580.92551,0,0
17/08/1973,1973,8,34,1973,386512.8082,317866.7094,284201.367,35970.48921,0,0
24/08/1973,1973,8,35,1973,386512.8075,290351.7349,261868.3393,29860.29574,0,0
31/08/1973,1973,8,36,1973,386512.8073,250299.0566,227471.8453,22995.21887,0,0
07/09/1973,1973,9,37,1973,386512.8071,237099.3171,229779.8708,713.369919,0,7995.186264
14/09/1973,1973,9,38,1973,386512.8075,224120.1787,214327.7723,9792.406444,0,0
21/09/1973,1973,9,39,1973,386512.8076,234436.8499,217987.948,12747.07919,0,3701.822782
28/09/1973,1973,9,40,1973,386512.8075,219491.3909,209092.2692,0,314.7179781,14125.95299
05/10/1973,1973,10,41,1973,386512.8075,230821.5912,222345.1718,0,0,8476.419376
12/10/1973,1973,10,42,1973,386512.8075,289820.8966,196638.2285,1587.572262,44363.23998,54261.91373
19/10/1973,1973,10,43,1973,386512.8077,349599.3431,209277.9968,0,67428.41546,88067.31537
26/10/1973,1973,10,44,1973,386512.8075,380037.4816,247197.6022,13438.58144,93858.44458,32474.13952
21/06/1974,1974,6,25,1974,386512.8073,360141.4831,217518.215,150984.0315,243.9853531,2166.56054
28/06/1974,1974,6,26,1974,386512.8077,353800.4466,209710.209,152092.4272,0,0
05/07/1974,1974,7,27,1974,386512.808,363028.2694,203478.9674,165365.0602,0,0
12/07/1974,1974,7,28,1974,386512.8076,352985.9807,240797.4143,113132.3398,0,0
19/07/1974,1974,7,29,1974,386512.8074,355357.8265,249038.788,106319.0386,0,0
26/07/1974,1974,7,30,1974,386512.8078,349964.8509,255390.9666,94574.0435,0,0
02/08/1974,1974,8,31,1974,386512.8074,347466.1235,254512.4561,93950.1764,0,0
09/08/1974,1974,8,32,1974,386512.8077,337666.039,241299.6104,98326.7383,0,0
16/08/1974,1974,8,33,1974,386512.8081,349098.3074,270018.2946,80660.91666,0,0
23/08/1974,1974,8,34,1974,386512.8073,344169.6962,277172.1059,70281.22446,0,0
